2025-04-12 16:23:16,280 | [WARNING] | plugin_manager | 'currency_converter' does not have a run() method
2025-04-12 16:27:38,135 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 16:27:38,136 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 16:27:38,137 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 16:27:38,138 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 16:27:38,384 | [WARNING] | plugin_manager | 'currency_converter' does not have a run() method
2025-04-12 16:27:38,385 | [WARNING] | plugin_manager | 'web_search' does not have a run() method
2025-04-12 16:27:38,385 | [WARNING] | plugin_manager | 'system_control' does not have a run() method
2025-04-12 16:27:38,386 | [WARNING] | plugin_manager | 'joke_teller' does not have a run() method
2025-04-12 16:27:38,386 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 16:27:38,387 | [WARNING] | plugin_manager | 'weather' does not have a run() method
2025-04-12 16:27:38,387 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 16:27:38,387 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 16:27:38,389 | [ERROR] | plugin_manager | Failed to load 'task_scheduler': No module named 'schedule'
2025-04-12 16:27:38,392 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 16:27:38,392 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 16:27:38,392 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 16:27:38,393 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 16:27:38,393 | [ERROR] | plugin_manager | Failed to load 'ai_agent': cannot import name 'MemoryManager' from 'core.memory' (/home/shaurya/Desktop/AI_Terminal/core/memory.py)
2025-04-12 16:27:38,397 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
2025-04-12 16:27:38,398 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 16:27:38,398 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 16:27:38,398 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 16:27:38,399 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 16:28:10,447 | [INFO] | main | User: hello
2025-04-12 16:29:36,760 | [INFO] | memory | Saved memory to data/memory.json
2025-04-12 16:52:36,663 | [INFO] | memory | Saved memory to data/memory.json
2025-04-12 16:57:53,417 | [WARNING] | plugin_manager | 'currency_converter' does not have a run() method
2025-04-12 16:57:53,723 | [WARNING] | plugin_manager | 'web_search' does not have a run() method
2025-04-12 16:57:53,724 | [WARNING] | plugin_manager | 'system_control' does not have a run() method
2025-04-12 16:57:53,725 | [WARNING] | plugin_manager | 'joke_teller' does not have a run() method
2025-04-12 16:57:53,726 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 16:57:53,728 | [WARNING] | plugin_manager | 'weather' does not have a run() method
2025-04-12 16:57:53,733 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 16:57:53,734 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 16:57:53,737 | [WARNING] | plugin_manager | 'task_scheduler' does not have a run() method
2025-04-12 16:57:53,738 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 16:57:53,989 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 16:57:54,023 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 16:57:54,027 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 16:57:54,033 | [ERROR] | plugin_manager | Failed to load 'ai_agent': cannot import name 'config' from 'utils.config_loader' (/home/shaurya/Desktop/AI_Terminal/utils/config_loader.py)
2025-04-12 16:57:54,089 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
2025-04-12 16:57:54,091 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 16:57:54,092 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 16:57:54,093 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 16:57:54,096 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 16:57:54,963 | [WARNING] | plugin_manager | 'currency_converter' does not have a run() method
2025-04-12 16:57:54,964 | [WARNING] | plugin_manager | 'web_search' does not have a run() method
2025-04-12 16:57:54,965 | [WARNING] | plugin_manager | 'system_control' does not have a run() method
2025-04-12 16:57:54,966 | [WARNING] | plugin_manager | 'joke_teller' does not have a run() method
2025-04-12 16:57:54,966 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 16:57:54,967 | [WARNING] | plugin_manager | 'weather' does not have a run() method
2025-04-12 16:57:54,967 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 16:57:54,969 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 16:57:54,974 | [WARNING] | plugin_manager | 'task_scheduler' does not have a run() method
2025-04-12 16:57:54,977 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 16:57:54,979 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 16:57:54,980 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 16:57:54,980 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 16:57:54,982 | [ERROR] | plugin_manager | Failed to load 'ai_agent': cannot import name 'config' from 'utils.config_loader' (/home/shaurya/Desktop/AI_Terminal/utils/config_loader.py)
2025-04-12 16:57:54,984 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
2025-04-12 16:57:54,985 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 16:57:54,985 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 16:57:54,993 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 16:57:55,000 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 16:58:30,902 | [INFO] | memory | Saved memory to data/memory.json
2025-04-12 16:58:54,277 | [WARNING] | plugin_manager | 'currency_converter' does not have a run() method
2025-04-12 16:58:54,387 | [WARNING] | plugin_manager | 'web_search' does not have a run() method
2025-04-12 16:58:54,387 | [WARNING] | plugin_manager | 'system_control' does not have a run() method
2025-04-12 16:58:54,388 | [WARNING] | plugin_manager | 'joke_teller' does not have a run() method
2025-04-12 16:58:54,389 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 16:58:54,390 | [WARNING] | plugin_manager | 'weather' does not have a run() method
2025-04-12 16:58:54,391 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 16:58:54,391 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 16:58:54,393 | [WARNING] | plugin_manager | 'task_scheduler' does not have a run() method
2025-04-12 16:58:54,394 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 16:58:54,427 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 16:58:54,428 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 16:58:54,428 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 16:58:54,429 | [ERROR] | plugin_manager | Failed to load 'ai_agent': cannot import name 'config' from 'utils.config_loader' (/home/shaurya/Desktop/AI_Terminal/utils/config_loader.py)
2025-04-12 16:58:54,437 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
2025-04-12 16:58:54,438 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 16:58:54,439 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 16:58:54,439 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 16:58:54,440 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 16:58:54,620 | [WARNING] | plugin_manager | 'currency_converter' does not have a run() method
2025-04-12 16:58:54,620 | [WARNING] | plugin_manager | 'web_search' does not have a run() method
2025-04-12 16:58:54,621 | [WARNING] | plugin_manager | 'system_control' does not have a run() method
2025-04-12 16:58:54,621 | [WARNING] | plugin_manager | 'joke_teller' does not have a run() method
2025-04-12 16:58:54,622 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 16:58:54,622 | [WARNING] | plugin_manager | 'weather' does not have a run() method
2025-04-12 16:58:54,623 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 16:58:54,623 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 16:58:54,623 | [WARNING] | plugin_manager | 'task_scheduler' does not have a run() method
2025-04-12 16:58:54,624 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 16:58:54,624 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 16:58:54,625 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 16:58:54,625 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 16:58:54,626 | [ERROR] | plugin_manager | Failed to load 'ai_agent': cannot import name 'config' from 'utils.config_loader' (/home/shaurya/Desktop/AI_Terminal/utils/config_loader.py)
2025-04-12 16:58:54,627 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
2025-04-12 16:58:54,627 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 16:58:54,628 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 16:58:54,628 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 16:58:54,628 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 17:00:24,932 | [INFO] | memory | Saved memory to data/memory.json
2025-04-12 17:07:34,251 | [WARNING] | plugin_manager | 'currency_converter' does not have a run() method
2025-04-12 17:07:34,385 | [WARNING] | plugin_manager | 'web_search' does not have a run() method
2025-04-12 17:07:34,386 | [WARNING] | plugin_manager | 'system_control' does not have a run() method
2025-04-12 17:07:34,387 | [WARNING] | plugin_manager | 'joke_teller' does not have a run() method
2025-04-12 17:07:34,388 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 17:07:34,388 | [WARNING] | plugin_manager | 'weather' does not have a run() method
2025-04-12 17:07:34,389 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 17:07:34,390 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 17:07:34,393 | [WARNING] | plugin_manager | 'task_scheduler' does not have a run() method
2025-04-12 17:07:34,394 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 17:07:34,434 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 17:07:34,435 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 17:07:34,435 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 17:07:35,455 | [WARNING] | plugin_manager | 'ai_agent' does not have a run() method
2025-04-12 17:07:35,475 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
2025-04-12 17:07:35,480 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 17:07:35,481 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 17:07:35,482 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 17:07:35,488 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 17:07:35,493 | [WARNING] | plugin_manager | 'currency_converter' does not have a run() method
2025-04-12 17:07:35,494 | [WARNING] | plugin_manager | 'web_search' does not have a run() method
2025-04-12 17:07:35,495 | [WARNING] | plugin_manager | 'system_control' does not have a run() method
2025-04-12 17:07:35,496 | [WARNING] | plugin_manager | 'joke_teller' does not have a run() method
2025-04-12 17:07:35,496 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 17:07:35,496 | [WARNING] | plugin_manager | 'weather' does not have a run() method
2025-04-12 17:07:35,497 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 17:07:35,497 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 17:07:35,498 | [WARNING] | plugin_manager | 'task_scheduler' does not have a run() method
2025-04-12 17:07:35,499 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 17:07:35,500 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 17:07:35,500 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 17:07:35,500 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 17:07:35,501 | [WARNING] | plugin_manager | 'ai_agent' does not have a run() method
2025-04-12 17:07:35,501 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
2025-04-12 17:07:35,504 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 17:07:35,506 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 17:07:35,507 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 17:07:35,507 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 17:08:34,118 | [WARNING] | plugin_manager | 'currency_converter' does not have a run() method
2025-04-12 17:08:34,256 | [WARNING] | plugin_manager | 'web_search' does not have a run() method
2025-04-12 17:08:34,256 | [WARNING] | plugin_manager | 'system_control' does not have a run() method
2025-04-12 17:08:34,257 | [WARNING] | plugin_manager | 'joke_teller' does not have a run() method
2025-04-12 17:08:34,257 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 17:08:34,258 | [WARNING] | plugin_manager | 'weather' does not have a run() method
2025-04-12 17:08:34,258 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 17:08:34,259 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 17:08:34,261 | [WARNING] | plugin_manager | 'task_scheduler' does not have a run() method
2025-04-12 17:08:34,262 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 17:08:34,299 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 17:08:34,300 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 17:08:34,301 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 17:08:34,906 | [INFO] | plugin_manager | Loaded 'ai_agent'
2025-04-12 17:08:34,923 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
2025-04-12 17:08:34,936 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 17:08:34,938 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 17:08:34,939 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 17:08:34,942 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 17:09:21,658 | [WARNING] | plugin_manager | 'currency_converter' does not have a run() method
2025-04-12 17:09:21,810 | [WARNING] | plugin_manager | 'web_search' does not have a run() method
2025-04-12 17:09:21,811 | [WARNING] | plugin_manager | 'system_control' does not have a run() method
2025-04-12 17:09:21,812 | [WARNING] | plugin_manager | 'joke_teller' does not have a run() method
2025-04-12 17:09:21,812 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 17:09:21,813 | [WARNING] | plugin_manager | 'weather' does not have a run() method
2025-04-12 17:09:21,813 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 17:09:21,814 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 17:09:21,817 | [WARNING] | plugin_manager | 'task_scheduler' does not have a run() method
2025-04-12 17:09:21,818 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 17:09:21,858 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 17:09:21,859 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 17:09:21,860 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 17:09:22,551 | [INFO] | plugin_manager | Loaded 'ai_agent'
2025-04-12 17:09:22,568 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
2025-04-12 17:09:22,570 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 17:09:22,571 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 17:09:22,572 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 17:09:22,573 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 17:09:56,358 | [INFO] | plugin_manager | Loaded 'currency_converter'
2025-04-12 17:09:56,492 | [WARNING] | plugin_manager | 'web_search' does not have a run() method
2025-04-12 17:09:56,492 | [WARNING] | plugin_manager | 'system_control' does not have a run() method
2025-04-12 17:09:56,493 | [WARNING] | plugin_manager | 'joke_teller' does not have a run() method
2025-04-12 17:09:56,494 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 17:09:56,494 | [WARNING] | plugin_manager | 'weather' does not have a run() method
2025-04-12 17:09:56,495 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 17:09:56,495 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 17:09:56,498 | [WARNING] | plugin_manager | 'task_scheduler' does not have a run() method
2025-04-12 17:09:56,498 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 17:09:56,541 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 17:09:56,542 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 17:09:56,542 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 17:09:58,318 | [INFO] | plugin_manager | Loaded 'ai_agent'
2025-04-12 17:09:58,406 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
2025-04-12 17:09:58,423 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 17:09:58,424 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 17:09:58,427 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 17:09:58,428 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 17:12:54,711 | [INFO] | plugin_manager | Loaded 'currency_converter'
2025-04-12 17:12:55,179 | [INFO] | plugin_manager | Loaded 'web_search'
2025-04-12 17:12:55,189 | [WARNING] | plugin_manager | 'system_control' does not have a run() method
2025-04-12 17:12:55,195 | [WARNING] | plugin_manager | 'joke_teller' does not have a run() method
2025-04-12 17:12:55,199 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 17:12:55,200 | [WARNING] | plugin_manager | 'weather' does not have a run() method
2025-04-12 17:12:55,211 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 17:12:55,217 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 17:12:55,282 | [WARNING] | plugin_manager | 'task_scheduler' does not have a run() method
2025-04-12 17:12:55,417 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 17:12:55,851 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 17:12:55,876 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 17:12:55,882 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 17:12:57,277 | [INFO] | plugin_manager | Loaded 'ai_agent'
2025-04-12 17:12:57,294 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
2025-04-12 17:12:57,295 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 17:12:57,296 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 17:12:57,298 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 17:12:57,298 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 17:14:42,740 | [INFO] | plugin_manager | Loaded 'currency_converter'
2025-04-12 17:14:42,878 | [INFO] | plugin_manager | Loaded 'web_search'
2025-04-12 17:14:42,880 | [INFO] | plugin_manager | Loaded 'system_control'
2025-04-12 17:14:42,881 | [WARNING] | plugin_manager | 'joke_teller' does not have a run() method
2025-04-12 17:14:42,882 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 17:14:42,882 | [WARNING] | plugin_manager | 'weather' does not have a run() method
2025-04-12 17:14:42,883 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 17:14:42,884 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 17:14:42,888 | [WARNING] | plugin_manager | 'task_scheduler' does not have a run() method
2025-04-12 17:14:42,889 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 17:14:42,919 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 17:14:42,920 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 17:14:42,921 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 17:14:43,617 | [INFO] | plugin_manager | Loaded 'ai_agent'
2025-04-12 17:14:43,741 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
2025-04-12 17:14:43,807 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 17:14:43,815 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 17:14:43,823 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 17:14:43,825 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 17:15:52,271 | [INFO] | plugin_manager | Loaded 'currency_converter'
2025-04-12 17:15:52,464 | [INFO] | plugin_manager | Loaded 'web_search'
2025-04-12 17:15:52,465 | [INFO] | plugin_manager | Loaded 'system_control'
2025-04-12 17:15:52,467 | [INFO] | plugin_manager | Loaded 'joke_teller'
2025-04-12 17:15:52,468 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 17:15:52,495 | [WARNING] | plugin_manager | 'weather' does not have a run() method
2025-04-12 17:15:52,496 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 17:15:52,498 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 17:15:52,548 | [WARNING] | plugin_manager | 'task_scheduler' does not have a run() method
2025-04-12 17:15:52,550 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 17:15:52,803 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 17:15:52,807 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 17:15:52,829 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
2025-04-12 17:15:55,518 | [INFO] | plugin_manager | Loaded 'ai_agent'
2025-04-12 17:15:55,603 | [WARNING] | plugin_manager | 'voice_assistant' does not have a run() method
2025-04-12 17:15:55,605 | [WARNING] | plugin_manager | 'notes' does not have a run() method
2025-04-12 17:15:55,614 | [WARNING] | plugin_manager | 'reminder' does not have a run() method
2025-04-12 17:15:55,628 | [WARNING] | plugin_manager | 'git_helper' does not have a run() method
2025-04-12 17:15:55,631 | [WARNING] | plugin_manager | 'music_player' does not have a run() method
2025-04-12 17:17:05,842 | [INFO] | plugin_manager | Loaded 'currency_converter'
2025-04-12 17:17:06,285 | [INFO] | plugin_manager | Loaded 'web_search'
2025-04-12 17:17:06,286 | [INFO] | plugin_manager | Loaded 'system_control'
2025-04-12 17:17:06,287 | [INFO] | plugin_manager | Loaded 'joke_teller'
2025-04-12 17:17:06,289 | [WARNING] | plugin_manager | 'movie_recommender' does not have a run() method
2025-04-12 17:17:06,310 | [INFO] | plugin_manager | Loaded 'weather'
2025-04-12 17:17:06,311 | [WARNING] | plugin_manager | 'calculator' does not have a run() method
2025-04-12 17:17:06,312 | [WARNING] | plugin_manager | 'file_manager' does not have a run() method
2025-04-12 17:17:06,317 | [WARNING] | plugin_manager | 'task_scheduler' does not have a run() method
2025-04-12 17:17:06,317 | [WARNING] | plugin_manager | 'news_fetcher' does not have a run() method
2025-04-12 17:17:06,343 | [WARNING] | plugin_manager | 'email_manager' does not have a run() method
2025-04-12 17:17:06,344 | [WARNING] | plugin_manager | 'ai_tools' does not have a run() method
2025-04-12 17:17:06,344 | [WARNING] | plugin_manager | 'todo_list' does not have a run() method
